away,away_score,date,draft_kings,home,home_score,lasso,linear,predict_kp,rf,score
Lehigh,75.0,2021-01-23,0.5,Holy Cross,72.0,,,-1,,-3.0
Delaware,70.0,2021-01-23,4.0,UNC Wilmington,77.0,,,5,,7.0
Northwestern St.,73.0,2021-01-23,1.0,Southeastern Louisiana,68.0,,,1,,-5.0
Akron,79.0,2021-01-23,-7.5,Western Michigan,68.0,,,-7,,-11.0
Milwaukee,81.0,2021-01-23,3.5,Cleveland St.,80.0,,,6,,-1.0
Western Carolina,78.0,2021-01-23,8.0,Wofford,91.0,,,8,,13.0
McNeese St.,74.0,2021-01-23,2.5,Houston Baptist,71.0,,,3,,-3.0
Texas A&M Corpus Chris,53.0,2021-01-23,1.0,Incarnate Word,72.0,,,1,,19.0
Oregon St.,75.0,2021-01-23,8.5,Oregon,64.0,,,15,,-11.0
Norfolk St.,71.0,2021-01-23,-2.5,Coppin St.,81.0,,,-4,,10.0
Jackson St.,75.0,2021-01-23,2.5,Grambling St.,61.0,,,2,,-14.0
Rice,74.0,2021-01-23,9.5,UAB,86.0,,,10,,12.0
James Madison,63.0,2021-01-23,4.5,Northeastern,72.0,,,8,,9.0
Western Kentucky,82.0,2021-01-23,-10.5,Middle Tennessee,67.0,,,-9,,-15.0
Montana St.,58.0,2021-01-23,-6.0,Northern Arizona,53.0,,,-5,,-5.0
Alcorn St.,57.0,2021-01-23,-2.5,Alabama St.,52.0,,,-2,,-5.0
Boston University,81.0,2021-01-23,7.0,Lafayette,76.0,,,6,,-5.0
San Jose St.,83.0,2021-01-23,10.0,New Mexico,71.0,,,5,,-12.0
New Orleans,62.0,2021-01-23,9.0,Nicholls St.,86.0,,,7,,24.0
Texas St.,69.0,2021-01-23,-5.5,Louisiana Monroe,63.0,,,-7,,-6.0
Pacific,49.0,2021-01-23,26.0,Gonzaga,95.0,,,23,,46.0
Grand Canyon,81.0,2021-01-23,-10.0,Dixie St.,46.0,,,-9,,-35.0
La Salle,84.0,2021-01-23,14.5,Richmond,78.0,,,14,,-6.0
